analysis_id,rq_id,suite,dimension,function_set,algorithms,metric,unit_of_analysis,n_observations,pairing_key,test,test_statistic,p_raw,p_adjusted,correction,effect_size,effect_direction,ci_low,ci_high,ci_level,resampling_unit,n_resamples,seed,source_paths,source_checksums,evidence_release_id,script,command,commit_sha,interpretation,status
AN-EFF-2017-D10,RQ3,cec2017,10,F3,dt-gsk vs gsk,vargha_delaney_a12,run,51,"get_cec_seed(20240620,dim,func,run)",none (estimation),n/a,n/a,n/a,n/a,5.000000e-01,none,n/a,n/a,n/a,n/a,n/a,n/a,cec2017/dt-gsk/per_run.csv;cec2017/gsk/per_run.csv,f9a984839ac9ad87f0e05cbbec35c7199f8ca55e80df2894b170ae26232502c2;9ddbd9fd7312165e554567535a3bf38c5b96c1ec2564d3ef9a1ac76ef567b32c,rel-2026-07-16-78f075cb0,papers/scripts/phase6_run_analysis.py,python papers/scripts/phase6_run_analysis.py,78f075cb0f68a80010d524bdcc390a69a0afc5cd,cliffs_delta=0.000000e+00;magnitude=negligible;A12>0.5 favors dt-gsk;ties |d|<1e-8 counted half,ok
AN-EFF-2017-D10,RQ3,cec2017,10,F3,dt-gsk vs agsk,bca_ci_paired_mean_diff,run,51,"get_cec_seed(20240620,dim,func,run)",none (estimation),n/a,n/a,n/a,n/a,0.000000e+00,none,n/a,n/a,0.95,paired runs within function,n/a,n/a,cec2017/dt-gsk/per_run.csv;cec2017/agsk/per_run.csv,f9a984839ac9ad87f0e05cbbec35c7199f8ca55e80df2894b170ae26232502c2;0523a9cb206e0df0d80611811af896186bd1a75b689f4a9597ed95118dfd678e,rel-2026-07-16-78f075cb0,papers/scripts/phase6_run_analysis.py,python papers/scripts/phase6_run_analysis.py,78f075cb0f68a80010d524bdcc390a69a0afc5cd,no CI (degenerate cell): all paired differences identical,ok
AN-EFF-2017-D10,RQ3,cec2017,10,F3,dt-gsk vs agsk,vargha_delaney_a12,run,51,"get_cec_seed(20240620,dim,func,run)",none (estimation),n/a,n/a,n/a,n/a,5.000000e-01,none,n/a,n/a,n/a,n/a,n/a,n/a,cec2017/dt-gsk/per_run.csv;cec2017/agsk/per_run.csv,f9a984839ac9ad87f0e05cbbec35c7199f8ca55e80df2894b170ae26232502c2;0523a9cb206e0df0d80611811af896186bd1a75b689f4a9597ed95118dfd678e,rel-2026-07-16-78f075cb0,papers/scripts/phase6_run_analysis.py,python papers/scripts/phase6_run_analysis.py,78f075cb0f68a80010d524bdcc390a69a0afc5cd,cliffs_delta=0.000000e+00;magnitude=negligible;A12>0.5 favors dt-gsk;ties |d|<1e-8 counted half,ok
AN-EFF-2017-D10,RQ3,cec2017,10,F3,dt-gsk vs apgsk,bca_ci_paired_mean_diff,run,51,"get_cec_seed(20240620,dim,func,run)",none (estimation),n/a,n/a,n/a,n/a,0.000000e+00,none,n/a,n/a,0.95,paired runs within function,n/a,n/a,cec2017/dt-gsk/per_run.csv;cec2017/apgsk/per_run.csv,f9a984839ac9ad87f0e05cbbec35c7199f8ca55e80df2894b170ae26232502c2;ac3419fe4c2f4fc3a9179d51fc16fce545134655d4250bf9ca9a12c4d07985f1,rel-2026-07-16-78f075cb0,papers/scripts/phase6_run_analysis.py,python papers/scripts/phase6_run_analysis.py,78f075cb0f68a80010d524bdcc390a69a0afc5cd,no CI (degenerate cell): all paired differences identical,ok
AN-EFF-2017-D10,RQ3,cec2017,10,F3,dt-gsk vs apgsk,vargha_delaney_a12,run,51,"get_cec_seed(20240620,dim,func,run)",none (estimation),n/a,n/a,n/a,n/a,5.000000e-01,none,n/a,n/a,n/a,n/a,n/a,n/a,cec2017/dt-gsk/per_run.csv;cec2017/apgsk/per_run.csv,f9a984839ac9ad87f0e05cbbec35c7199f8ca55e80df2894b170ae26232502c2;ac3419fe4c2f4fc3a9179d51fc16fce545134655d4250bf9ca9a12c4d07985f1,rel-2026-07-16-78f075cb0,papers/scripts/phase6_run_analysis.py,python papers/scripts/phase6_run_analysis.py,78f075cb0f68a80010d524bdcc390a69a0afc5cd,cliffs_delta=0.000000e+00;magnitude=negligible;A12>0.5 favors dt-gsk;ties |d|<1e-8 counted half,ok
AN-EFF-2017-D10,RQ3,cec2017,10,F3,dt-gsk vs fdb-agsk,bca_ci_paired_mean_diff,run,51,"get_cec_seed(20240620,dim,func,run)",none (estimation),n/a,n/a,n/a,n/a,0.000000e+00,none,n/a,n/a,0.95,paired runs within function,n/a,n/a,cec2017/dt-gsk/per_run.csv;cec2017/fdb-agsk/per_run.csv,f9a984839ac9ad87f0e05cbbec35c7199f8ca55e80df2894b170ae26232502c2;226f5b440b7edbe475040d24787a2c0bf3ba1476a3ca06a17095333ebe0d448c,rel-2026-07-16-78f075cb0,papers/scripts/phase6_run_analysis.py,python papers/scripts/phase6_run_analysis.py,78f075cb0f68a80010d524bdcc390a69a0afc5cd,no CI (degenerate cell): all paired differences identical,ok
AN-EFF-2017-D10,RQ3,cec2017,10,F3,dt-gsk vs fdb-agsk,vargha_delaney_a12,run,51,"get_cec_seed(20240620,dim,func,run)",none (estimation),n/a,n/a,n/a,n/a,5.000000e-01,none,n/a,n/a,n/a,n/a,n/a,n/a,cec2017/dt-gsk/per_run.csv;cec2017/fdb-agsk/per_run.csv,f9a984839ac9ad87f0e05cbbec35c7199f8ca55e80df2894b170ae26232502c2;226f5b440b7edbe475040d24787a2c0bf3ba1476a3ca06a17095333ebe0d448c,rel-2026-07-16-78f075cb0,papers/scripts/phase6_run_analysis.py,python papers/scripts/phase6_run_analysis.py,78f075cb0f68a80010d524bdcc390a69a0afc5cd,cliffs_delta=0.000000e+00;magnitude=negligible;A12>0.5 favors dt-gsk;ties |d|<1e-8 counted half,ok
AN-EFF-2017-D10,RQ3,cec2017,10,F3,dt-gsk vs atmals-gsk,bca_ci_paired_mean_diff,run,51,"get_cec_seed(20240620,dim,func,run)",none (estimation),n/a,n/a,n/a,n/a,0.000000e+00,none,n/a,n/a,0.95,paired runs within function,n/a,n/a,cec2017/dt-gsk/per_run.csv;cec2017/atmals-gsk/per_run.csv,f9a984839ac9ad87f0e05cbbec35c7199f8ca55e80df2894b170ae26232502c2;2e81d90548124b455b13c460ae68db37467a1071eec4ee4c9124def0a9515331,rel-2026-07-16-78f075cb0,papers/scripts/phase6_run_analysis.py,python papers/scripts/phase6_run_analysis.py,78f075cb0f68a80010d524bdcc390a69a0afc5cd,no CI (degenerate cell): all paired differences identical,ok
AN-EFF-2017-D10,RQ3,cec2017,10,F3,dt-gsk vs atmals-gsk,vargha_delaney_a12,run,51,"get_cec_seed(20240620,dim,func,run)",none (estimation),n/a,n/a,n/a,n/a,5.000000e-01,none,n/a,n/a,n/a,n/a,n/a,n/a,cec2017/dt-gsk/per_run.csv;cec2017/atmals-gsk/per_run.csv,f9a984839ac9ad87f0e05cbbec35c7199f8ca55e80df2894b170ae26232502c2;2e81d90548124b455b13c460ae68db37467a1071eec4ee4c9124def0a9515331,rel-2026-07-16-78f075cb0,papers/scripts/phase6_run_analysis.py,python papers/scripts/phase6_run_analysis.py,78f075cb0f68a80010d524bdcc390a69a0afc5cd,cliffs_delta=0.000000e+00;magnitude=negligible;A12>0.5 favors dt-gsk;ties |d|<1e-8 counted half,ok
AN-EFF-2017-D10,RQ3,cec2017,10,F3,dt-gsk vs egsk,bca_ci_paired_mean_diff,run,51,"get_cec_seed(20240620,dim,func,run)",none (estimation),n/a,n/a,n/a,n/a,0.000000e+00,none,n/a,n/a,0.95,paired runs within function,n/a,n/a,cec2017/dt-gsk/per_run.csv;cec2017/egsk/per_run.csv,f9a984839ac9ad87f0e05cbbec35c7199f8ca55e80df2894b170ae26232502c2;4aa916664d7a4678a379679591449fa0cd6cb90ac24efaee87a4d8a8932019f3,rel-2026-07-16-78f075cb0,papers/scripts/phase6_run_analysis.py,python papers/scripts/phase6_run_analysis.py,78f075cb0f68a80010d524bdcc390a69a0afc5cd,no CI (degenerate cell): all paired differences identical,ok
AN-EFF-2017-D10,RQ3,cec2017,10,F3,dt-gsk vs egsk,vargha_delaney_a12,run,51,"get_cec_seed(20240620,dim,func,run)",none (estimation),n/a,n/a,n/a,n/a,5.000000e-01,none,n/a,n/a,n/a,n/a,n/a,n/a,cec2017/dt-gsk/per_run.csv;cec2017/egsk/per_run.csv,f9a984839ac9ad87f0e05cbbec35c7199f8ca55e80df2894b170ae26232502c2;4aa916664d7a4678a379679591449fa0cd6cb90ac24efaee87a4d8a8932019f3,rel-2026-07-16-78f075cb0,papers/scripts/phase6_run_analysis.py,python papers/scripts/phase6_run_analysis.py,78f075cb0f68a80010d524bdcc390a69a0afc5cd,cliffs_delta=0.000000e+00;magnitude=negligible;A12>0.5 favors dt-gsk;ties |d|<1e-8 counted half,ok
AN-EFF-2017-D10,RQ3,cec2017,10,F4,dt-gsk vs gsk,bca_ci_paired_mean_diff,run,51,"get_cec_seed(20240620,dim,func,run)",none (estimation),n/a,n/a,n/a,n/a,0.000000e+00,none,n/a,n/a,0.95,paired runs within function,n/a,n/a,cec2017/dt-gsk/per_run.csv;cec2017/gsk/per_run.csv,f9a984839ac9ad87f0e05cbbec35c7199f8ca55e80df2894b170ae26232502c2;9ddbd9fd7312165e554567535a3bf38c5b96c1ec2564d3ef9a1ac76ef567b32c,rel-2026-07-16-78f075cb0,papers/scripts/phase6_run_analysis.py,python papers/scripts/phase6_run_analysis.py,78f075cb0f68a80010d524bdcc390a69a0afc5cd,no CI (degenerate cell): all paired differences identical,ok
AN-EFF-2017-D10,RQ3,cec2017,10,F4,dt-gsk vs gsk,vargha_delaney_a12,run,51,"get_cec_seed(20240620,dim,func,run)",none (estimation),n/a,n/a,n/a,n/a,5.000000e-01,none,n/a,n/a,n/a,n/a,n/a,n/a,cec2017/dt-gsk/per_run.csv;cec2017/gsk/per_run.csv,f9a984839ac9ad87f0e05cbbec35c7199f8ca55e80df2894b170ae26232502c2;9ddbd9fd7312165e554567535a3bf38c5b96c1ec2564d3ef9a1ac76ef567b32c,rel-2026-07-16-78f075cb0,papers/scripts/phase6_run_analysis.py,python papers/scripts/phase6_run_analysis.py,78f075cb0f68a80010d524bdcc390a69a0afc5cd,cliffs_delta=0.000000e+00;magnitude=negligible;A12>0.5 favors dt-gsk;ties |d|<1e-8 counted half,ok
AN-EFF-2017-D10,RQ3,cec2017,10,F4,dt-gsk vs agsk,bca_ci_paired_mean_diff,run,51,"get_cec_seed(20240620,dim,func,run)",none (estimation),n/a,n/a,n/a,n/a,0.000000e+00,none,n/a,n/a,0.95,paired runs within function,n/a,n/a,cec2017/dt-gsk/per_run.csv;cec2017/agsk/per_run.csv,f9a984839ac9ad87f0e05cbbec35c7199f8ca55e80df2894b170ae26232502c2;0523a9cb206e0df0d80611811af896186bd1a75b689f4a9597ed95118dfd678e,rel-2026-07-16-78f075cb0,papers/scripts/phase6_run_analysis.py,python papers/scripts/phase6_run_analysis.py,78f075cb0f68a80010d524bdcc390a69a0afc5cd,no CI (degenerate cell): all paired differences identical,ok
AN-EFF-2017-D10,RQ3,cec2017,10,F4,dt-gsk vs agsk,vargha_delaney_a12,run,51,"get_cec_seed(20240620,dim,func,run)",none (estimation),n/a,n/a,n/a,n/a,5.000000e-01,none,n/a,n/a,n/a,n/a,n/a,n/a,cec2017/dt-gsk/per_run.csv;cec2017/agsk/per_run.csv,f9a984839ac9ad87f0e05cbbec35c7199f8ca55e80df2894b170ae26232502c2;0523a9cb206e0df0d80611811af896186bd1a75b689f4a9597ed95118dfd678e,rel-2026-07-16-78f075cb0,papers/scripts/phase6_run_analysis.py,python papers/scripts/phase6_run_analysis.py,78f075cb0f68a80010d524bdcc390a69a0afc5cd,cliffs_delta=0.000000e+00;magnitude=negligible;A12>0.5 favors dt-gsk;ties |d|<1e-8 counted half,ok
AN-EFF-2017-D10,RQ3,cec2017,10,F4,dt-gsk vs apgsk,bca_ci_paired_mean_diff,run,51,"get_cec_seed(20240620,dim,func,run)",none (estimation),n/a,n/a,n/a,n/a,0.000000e+00,none,n/a,n/a,0.95,paired runs within function,n/a,n/a,cec2017/dt-gsk/per_run.csv;cec2017/apgsk/per_run.csv,f9a984839ac9ad87f0e05cbbec35c7199f8ca55e80df2894b170ae26232502c2;ac3419fe4c2f4fc3a9179d51fc16fce545134655d4250bf9ca9a12c4d07985f1,rel-2026-07-16-78f075cb0,papers/scripts/phase6_run_analysis.py,python papers/scripts/phase6_run_analysis.py,78f075cb0f68a80010d524bdcc390a69a0afc5cd,no CI (degenerate cell): all paired differences identical,ok
AN-EFF-2017-D10,RQ3,cec2017,10,F4,dt-gsk vs apgsk,vargha_delaney_a12,run,51,"get_cec_seed(20240620,dim,func,run)",none (estimation),n/a,n/a,n/a,n/a,5.000000e-01,none,n/a,n/a,n/a,n/a,n/a,n/a,cec2017/dt-gsk/per_run.csv;cec2017/apgsk/per_run.csv,f9a984839ac9ad87f0e05cbbec35c7199f8ca55e80df2894b170ae26232502c2;ac3419fe4c2f4fc3a9179d51fc16fce545134655d4250bf9ca9a12c4d07985f1,rel-2026-07-16-78f075cb0,papers/scripts/phase6_run_analysis.py,python papers/scripts/phase6_run_analysis.py,78f075cb0f68a80010d524bdcc390a69a0afc5cd,cliffs_delta=0.000000e+00;magnitude=negligible;A12>0.5 favors dt-gsk;ties |d|<1e-8 counted half,ok
AN-EFF-2017-D10,RQ3,cec2017,10,F4,dt-gsk vs fdb-agsk,bca_ci_paired_mean_diff,run,51,"get_cec_seed(20240620,dim,func,run)",none (estimation),n/a,n/a,n/a,n/a,-1.204807e-06,favors_dt-gsk,-6.055402e-06,-2.475984e-07,0.95,paired runs within function,10000,"SeedSequence([20240620, 2017, 10, 4, 3])",cec2017/dt-gsk/per_run.csv;cec2017/fdb-agsk/per_run.csv,f9a984839ac9ad87f0e05cbbec35c7199f8ca55e80df2894b170ae26232502c2;226f5b440b7edbe475040d24787a2c0bf3ba1476a3ca06a17095333ebe0d448c,rel-2026-07-16-78f075cb0,papers/scripts/phase6_run_analysis.py,python papers/scripts/phase6_run_analysis.py,78f075cb0f68a80010d524bdcc390a69a0afc5cd,BCa 95% CI on paired mean difference (negative favors dt-gsk),ok
AN-EFF-2017-D10,RQ3,cec2017,10,F4,dt-gsk vs fdb-agsk,vargha_delaney_a12,run,51,"get_cec_seed(20240620,dim,func,run)",none (estimation),n/a,n/a,n/a,n/a,5.294118e-01,favors_dt-gsk,n/a,n/a,n/a,n/a,n/a,n/a,cec2017/dt-gsk/per_run.csv;cec2017/fdb-agsk/per_run.csv,f9a984839ac9ad87f0e05cbbec35c7199f8ca55e80df2894b170ae26232502c2;226f5b440b7edbe475040d24787a2c0bf3ba1476a3ca06a17095333ebe0d448c,rel-2026-07-16-78f075cb0,papers/scripts/phase6_run_analysis.py,python papers/scripts/phase6_run_analysis.py,78f075cb0f68a80010d524bdcc390a69a0afc5cd,cliffs_delta=5.882353e-02;magnitude=negligible;A12>0.5 favors dt-gsk;ties |d|<1e-8 counted half,ok
