suite,dimension,function,comparator,n_runs,mean_diff,ci_low,ci_high,B,seed_scheme,availability
cec2017,10,1,gsk,51,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2017,10,1,agsk,51,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2017,10,1,apgsk,51,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2017,10,1,fdb-agsk,51,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2017,10,1,atmals-gsk,51,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2017,10,1,egsk,51,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2017,10,3,gsk,51,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2017,10,3,agsk,51,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2017,10,3,apgsk,51,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2017,10,3,fdb-agsk,51,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2017,10,3,atmals-gsk,51,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2017,10,3,egsk,51,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2017,10,4,gsk,51,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2017,10,4,agsk,51,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2017,10,4,apgsk,51,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2017,10,4,fdb-agsk,51,-1.204807e-06,-6.055402e-06,-2.475984e-07,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,4,atmals-gsk,51,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2017,10,4,egsk,51,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2017,10,5,gsk,51,-1.753114e+01,-1.845602e+01,-1.668603e+01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,5,agsk,51,-3.539663e+00,-4.118885e+00,-2.960798e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,5,apgsk,51,-5.534335e+00,-6.437437e+00,-4.690791e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,5,fdb-agsk,51,-3.173941e+00,-3.787904e+00,-2.541098e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,5,atmals-gsk,51,-9.246653e+00,-1.069266e+01,-7.902334e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,5,egsk,51,-1.986232e+00,-2.801847e+00,-1.284059e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,6,gsk,51,1.602242e-07,7.662898e-08,3.204485e-07,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,6,agsk,51,-7.190810e-06,-1.659261e-05,-3.551109e-06,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,6,apgsk,51,-1.763900e-05,-4.934716e-05,-8.331751e-06,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,6,fdb-agsk,51,-2.122676e-05,-6.098837e-05,-4.683719e-06,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,6,atmals-gsk,51,1.602242e-07,6.966271e-08,3.204485e-07,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,6,egsk,51,1.602242e-07,7.662898e-08,3.274148e-07,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,7,gsk,51,-1.780753e+01,-1.872530e+01,-1.684768e+01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,7,agsk,51,-7.061585e+00,-7.841630e+00,-6.308426e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,7,apgsk,51,-8.318780e+00,-9.406235e+00,-7.296654e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,7,fdb-agsk,51,-6.437223e+00,-7.215752e+00,-5.697835e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,7,atmals-gsk,51,-8.459162e+00,-9.746576e+00,-7.514090e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,7,egsk,51,-2.372667e+00,-2.885130e+00,-1.936152e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,8,gsk,51,-1.882609e+01,-1.989135e+01,-1.779438e+01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,8,agsk,51,-5.478084e+00,-6.126859e+00,-4.842437e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,8,apgsk,51,-6.525128e+00,-7.499523e+00,-5.658361e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,8,fdb-agsk,51,-4.909641e+00,-5.701938e+00,-4.105215e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,8,atmals-gsk,51,-1.049969e+01,-1.191463e+01,-9.156671e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,8,egsk,51,-1.934489e+00,-2.539485e+00,-1.260638e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,9,gsk,51,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2017,10,9,agsk,51,-1.755456e-03,-1.228510e-02,0.000000e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,9,apgsk,51,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
