==============================================================================================================
DETAILED PER-RUN LOG   AGSK   CEC2020   D20
runs per function : 30
functions         : [1 2 3 4 5 6 7 8 9 10]
statistics basis  : error vs known optimum
generated         : 2026-07-28_06.20.54
==============================================================================================================

----- F1  D20  (30 runs)  optimum=100  target_error=1e-08 -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      42240751      1.0000000000769690e+02   0.0000000000000000e+00   482697        target_error_reached    3.4119    
2      43240788      1.0000000000932589e+02   0.0000000000000000e+00   497517        target_error_reached    3.9084    
3      44240825      1.0000000000803931e+02   0.0000000000000000e+00   487732        target_error_reached    3.6484    
4      45240862      1.0000000000983371e+02   0.0000000000000000e+00   484027        target_error_reached    3.5153    
5      46240899      1.0000000000962582e+02   0.0000000000000000e+00   564928        target_error_reached    4.0236    
6      47240936      1.0000000000824168e+02   0.0000000000000000e+00   469017        target_error_reached    3.2074    
7      48240973      1.0000000000989529e+02   0.0000000000000000e+00   446597        target_error_reached    3.1851    
8      49241010      1.0000000000990497e+02   0.0000000000000000e+00   469587        target_error_reached    3.3727    
9      50241047      1.0000000000766305e+02   0.0000000000000000e+00   462082        target_error_reached    3.3355    
10     51241084      1.0000000000994245e+02   0.0000000000000000e+00   433075        target_error_reached    3.0656    
11     52241121      1.0000000000843477e+02   0.0000000000000000e+00   461607        target_error_reached    3.4644    
12     53241158      1.0000000000917262e+02   0.0000000000000000e+00   463032        target_error_reached    3.2698    
13     54241195      1.0000000000647204e+02   0.0000000000000000e+00   516517        target_error_reached    3.6213    
14     55241232      1.0000000000987774e+02   0.0000000000000000e+00   489632        target_error_reached    3.3533    
15     56241269      1.0000000000949042e+02   0.0000000000000000e+00   464932        target_error_reached    4.4053    
16     57241306      1.0000000000893873e+02   0.0000000000000000e+00   465977        target_error_reached    4.6201    
17     58241343      1.0000000000973705e+02   0.0000000000000000e+00   469112        target_error_reached    4.6224    
18     59241380      1.0000000000998212e+02   0.0000000000000000e+00   489252        target_error_reached    4.7300    
19     60241417      1.0000000000956781e+02   0.0000000000000000e+00   435955        target_error_reached    4.4184    
20     61241454      1.0000000000921104e+02   0.0000000000000000e+00   468162        target_error_reached    4.3155    
21     62241491      1.0000000000965862e+02   0.0000000000000000e+00   480322        target_error_reached    4.5701    
22     63241528      1.0000000000945137e+02   0.0000000000000000e+00   458852        target_error_reached    4.4599    
23     64241565      1.0000000000963779e+02   0.0000000000000000e+00   462082        target_error_reached    4.4445    
24     65241602      1.0000000000732679e+02   0.0000000000000000e+00   467022        target_error_reached    4.4464    
25     66241639      1.0000000000978812e+02   0.0000000000000000e+00   441715        target_error_reached    4.1006    
26     67241676      1.0000000000990156e+02   0.0000000000000000e+00   468827        target_error_reached    4.4647    
27     68241713      1.0000000000991135e+02   0.0000000000000000e+00   476522        target_error_reached    4.2305    
28     69241750      1.0000000000816992e+02   0.0000000000000000e+00   478612        target_error_reached    4.1462    
29     70241787      1.0000000000490547e+02   0.0000000000000000e+00   474812        target_error_reached    2.4241    
30     71241824      1.0000000000909843e+02   0.0000000000000000e+00   453532        target_error_reached    2.2482    

----- F2  D20  (30 runs)  optimum=1100  target_error=1e-08 -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      43240784      1.1017843098257854e+03   1.7843098257853853e+00   10000000      max_evaluations         258.0356  
2      44240821      1.1019180502742220e+03   1.9180502742219687e+00   10000000      max_evaluations         266.3082  
3      45240858      1.1000624569156826e+03   6.2456915682560066e-02   10000000      max_evaluations         264.8322  
4      46240895      1.1001968171689368e+03   1.9681716893683188e-01   10000000      max_evaluations         266.5198  
5      47240932      1.1068618129890474e+03   6.8618129890473938e+00   10000000      max_evaluations         260.9269  
6      48240969      1.1018554504524618e+03   1.8554504524618096e+00   10000000      max_evaluations         266.9757  
7      49241006      1.1035357759279868e+03   3.5357759279868333e+00   10000000      max_evaluations         264.9379  
8      50241043      1.1001546363296038e+03   1.5463632960381801e-01   10000000      max_evaluations         259.3254  
