suite,dimension,function,comparator,test_level,n_pairs,statistic,p_raw,p_holm,outcome,availability
cec2017,50,1,gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.543652e-08,win,ok
cec2017,50,1,agsk,per_function_runlevel,51,1.990000e+02,1.396344e-05,6.850224e-05,win,ok
cec2017,50,1,apgsk,per_function_runlevel,51,1.000000e+00,5.649717e-10,1.543652e-08,win,ok
cec2017,50,1,fdb-agsk,per_function_runlevel,51,5.760000e+02,4.174776e-01,1.000000e+00,tie,ok
cec2017,50,1,atmals-gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.543652e-08,loss,ok
cec2017,50,1,egsk,per_function_runlevel,51,1.650000e+02,3.115254e-06,6.230507e-05,win,ok
cec2017,50,3,gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.543652e-08,win,ok
cec2017,50,3,agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.543652e-08,win,ok
cec2017,50,3,apgsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.543652e-08,win,ok
cec2017,50,3,fdb-agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.543652e-08,win,ok
cec2017,50,3,atmals-gsk,per_function_runlevel,51,5.700000e+01,6.764582e-05,6.088124e-04,win,ok
cec2017,50,3,egsk,per_function_runlevel,51,0.000000e+00,2.526313e-03,3.284207e-02,loss,ok
cec2017,50,4,gsk,per_function_runlevel,51,5.870000e+02,4.791335e-01,9.582669e-01,tie,ok
cec2017,50,4,agsk,per_function_runlevel,51,2.050000e+02,8.744268e-05,2.623280e-04,loss,ok
cec2017,50,4,apgsk,per_function_runlevel,51,5.800000e+02,5.821569e-01,8.676246e-01,tie,ok
cec2017,50,4,fdb-agsk,per_function_runlevel,51,6.190000e+02,8.620549e-01,1.000000e+00,tie,ok
cec2017,50,4,atmals-gsk,per_function_runlevel,51,2.825000e+02,1.046932e-03,5.234658e-03,loss,ok
cec2017,50,4,egsk,per_function_runlevel,51,4.800000e+01,2.025503e-08,5.063756e-07,loss,ok
cec2017,50,5,gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.543652e-08,win,ok
cec2017,50,5,agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.543652e-08,win,ok
cec2017,50,5,apgsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.543652e-08,win,ok
cec2017,50,5,fdb-agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.543652e-08,win,ok
cec2017,50,5,atmals-gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.543652e-08,win,ok
cec2017,50,5,egsk,per_function_runlevel,51,5.560000e+02,3.181464e-01,1.000000e+00,tie,ok
cec2017,50,6,gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.543652e-08,loss,ok
cec2017,50,6,agsk,per_function_runlevel,51,4.600000e+01,7.549138e-09,7.549138e-08,win,ok
cec2017,50,6,apgsk,per_function_runlevel,51,1.400000e+01,1.216238e-09,1.581109e-08,win,ok
cec2017,50,6,fdb-agsk,per_function_runlevel,51,3.650000e+02,5.293654e-03,2.646827e-02,win,ok
cec2017,50,6,atmals-gsk,per_function_runlevel,51,1.000000e+01,9.621213e-10,1.849800e-08,win,ok
cec2017,50,6,egsk,per_function_runlevel,51,5.100000e+01,9.961999e-09,2.689740e-07,loss,ok
cec2017,50,7,gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.543652e-08,win,ok
cec2017,50,7,agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.543652e-08,win,ok
cec2017,50,7,apgsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.543652e-08,win,ok
cec2017,50,7,fdb-agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.543652e-08,win,ok
cec2017,50,7,atmals-gsk,per_function_runlevel,51,1.100000e+01,1.020312e-09,1.849800e-08,win,ok
cec2017,50,7,egsk,per_function_runlevel,51,4.490000e+02,4.536691e-02,3.175684e-01,tie,ok
cec2017,50,8,gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.543652e-08,win,ok
cec2017,50,8,agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.543652e-08,win,ok
cec2017,50,8,apgsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.543652e-08,win,ok
cec2017,50,8,fdb-agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.543652e-08,win,ok
cec2017,50,8,atmals-gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.543652e-08,win,ok
cec2017,50,8,egsk,per_function_runlevel,51,6.300000e+02,7.606423e-01,1.000000e+00,tie,ok
cec2017,50,9,gsk,per_function_runlevel,51,5.700000e+01,9.223262e-04,8.300936e-03,loss,ok
cec2017,50,9,agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.543652e-08,win,ok
cec2017,50,9,apgsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.543652e-08,win,ok
cec2017,50,9,fdb-agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.543652e-08,win,ok
cec2017,50,9,atmals-gsk,per_function_runlevel,51,8.500000e+00,8.808572e-10,1.849800e-08,win,ok
cec2017,50,9,egsk,per_function_runlevel,51,1.745000e+02,1.305482e-02,1.436031e-01,tie,ok
cec2017,50,10,gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.543652e-08,win,ok
cec2017,50,10,agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.543652e-08,win,ok
cec2017,50,10,apgsk,per_function_runlevel,51,4.700000e+01,7.981076e-09,7.981076e-08,win,ok
cec2017,50,10,fdb-agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.543652e-08,win,ok
cec2017,50,10,atmals-gsk,per_function_runlevel,51,2.180000e+02,3.094884e-05,3.404372e-04,win,ok
cec2017,50,10,egsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.543652e-08,win,ok
cec2017,50,11,gsk,per_function_runlevel,51,2.200000e+02,3.359406e-05,4.031287e-04,loss,ok
cec2017,50,11,agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.543652e-08,win,ok
cec2017,50,11,apgsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.543652e-08,win,ok
cec2017,50,11,fdb-agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.543652e-08,win,ok
cec2017,50,11,atmals-gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.543652e-08,win,ok
cec2017,50,11,egsk,per_function_runlevel,51,1.600000e+02,2.478040e-06,5.203884e-05,loss,ok
cec2017,50,12,gsk,per_function_runlevel,51,4.750000e+02,7.882827e-02,3.153131e-01,tie,ok
cec2017,50,12,agsk,per_function_runlevel,51,3.000000e+00,6.363059e-10,1.543652e-08,win,ok
cec2017,50,12,apgsk,per_function_runlevel,51,1.000000e+00,5.649717e-10,1.543652e-08,win,ok
cec2017,50,12,fdb-agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.543652e-08,win,ok
cec2017,50,12,atmals-gsk,per_function_runlevel,51,4.450000e+02,4.147694e-02,1.659078e-01,tie,ok
cec2017,50,12,egsk,per_function_runlevel,51,4.100000e+01,5.708468e-09,1.598371e-07,win,ok
cec2017,50,13,gsk,per_function_runlevel,51,2.200000e+01,1.935570e-09,3.096912e-08,win,ok
cec2017,50,13,agsk,per_function_runlevel,51,1.310000e+02,6.302901e-07,5.042321e-06,win,ok
cec2017,50,13,apgsk,per_function_runlevel,51,1.530000e+02,1.792361e-06,1.254653e-05,win,ok
cec2017,50,13,fdb-agsk,per_function_runlevel,51,1.810000e+02,6.387906e-06,4.471534e-05,win,ok
cec2017,50,13,atmals-gsk,per_function_runlevel,51,2.500000e+02,1.104252e-04,8.834016e-04,win,ok
cec2017,50,13,egsk,per_function_runlevel,51,1.910000e+02,9.897106e-06,1.781479e-04,loss,ok
cec2017,50,14,gsk,per_function_runlevel,51,5.000000e+00,7.164009e-10,1.543652e-08,win,ok
cec2017,50,14,agsk,per_function_runlevel,51,8.700000e+01,6.889674e-08,6.200707e-07,win,ok
cec2017,50,14,apgsk,per_function_runlevel,51,8.000000e+00,8.552874e-10,1.543652e-08,win,ok
cec2017,50,14,fdb-agsk,per_function_runlevel,51,7.300000e+01,3.290782e-08,2.961704e-07,win,ok
cec2017,50,14,atmals-gsk,per_function_runlevel,51,1.200000e+01,1.081929e-09,1.849800e-08,win,ok
cec2017,50,14,egsk,per_function_runlevel,51,4.330000e+02,3.145947e-02,2.516757e-01,tie,ok
cec2017,50,15,gsk,per_function_runlevel,51,6.400000e+02,8.329630e-01,9.582669e-01,tie,ok
cec2017,50,15,agsk,per_function_runlevel,51,4.200000e+01,6.037671e-09,6.641438e-08,win,ok
cec2017,50,15,apgsk,per_function_runlevel,51,1.600000e+01,1.366751e-09,1.640101e-08,win,ok
cec2017,50,15,fdb-agsk,per_function_runlevel,51,3.400000e+01,3.846183e-09,4.230801e-08,win,ok
cec2017,50,15,atmals-gsk,per_function_runlevel,51,3.000000e+01,3.063501e-09,4.901601e-08,win,ok
cec2017,50,15,egsk,per_function_runlevel,51,4.990000e+02,1.253839e-01,6.269195e-01,tie,ok
cec2017,50,16,gsk,per_function_runlevel,51,8.000000e+00,8.552874e-10,1.543652e-08,win,ok
cec2017,50,16,agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.543652e-08,win,ok
cec2017,50,16,apgsk,per_function_runlevel,51,7.700000e+01,4.071231e-08,3.664108e-07,win,ok
cec2017,50,16,fdb-agsk,per_function_runlevel,51,1.000000e+00,5.649717e-10,1.543652e-08,win,ok
cec2017,50,16,atmals-gsk,per_function_runlevel,51,1.030000e+02,1.570564e-07,1.884677e-06,win,ok
cec2017,50,16,egsk,per_function_runlevel,51,2.880000e+02,4.475819e-04,6.713728e-03,loss,ok
cec2017,50,17,gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.543652e-08,win,ok
cec2017,50,17,agsk,per_function_runlevel,51,2.200000e+01,1.935570e-09,2.516241e-08,win,ok
cec2017,50,17,apgsk,per_function_runlevel,51,2.400000e+01,2.172123e-09,2.389335e-08,win,ok
cec2017,50,17,fdb-agsk,per_function_runlevel,51,2.000000e+01,1.724188e-09,2.241444e-08,win,ok
cec2017,50,17,atmals-gsk,per_function_runlevel,51,7.600000e+01,3.860777e-08,5.019010e-07,win,ok
cec2017,50,17,egsk,per_function_runlevel,51,1.720000e+02,4.276517e-06,8.125382e-05,win,ok
cec2017,50,18,gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.543652e-08,win,ok
cec2017,50,18,agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.543652e-08,win,ok
cec2017,50,18,apgsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.543652e-08,win,ok
cec2017,50,18,fdb-agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.543652e-08,win,ok
cec2017,50,18,atmals-gsk,per_function_runlevel,51,1.000000e+00,5.649717e-10,1.543652e-08,win,ok
cec2017,50,18,egsk,per_function_runlevel,51,6.400000e+02,8.329630e-01,1.000000e+00,tie,ok
cec2017,50,19,gsk,per_function_runlevel,51,3.700000e+01,4.557729e-09,5.925048e-08,win,ok
cec2017,50,19,agsk,per_function_runlevel,51,1.000000e+00,5.649717e-10,1.543652e-08,win,ok
cec2017,50,19,apgsk,per_function_runlevel,51,1.000000e+00,5.649717e-10,1.543652e-08,win,ok
cec2017,50,19,fdb-agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.543652e-08,win,ok
cec2017,50,19,atmals-gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.543652e-08,win,ok
cec2017,50,19,egsk,per_function_runlevel,51,6.200000e+01,1.819983e-08,4.731957e-07,win,ok
cec2017,50,20,gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.543652e-08,win,ok
cec2017,50,20,agsk,per_function_runlevel,51,8.000000e+00,8.552874e-10,1.543652e-08,win,ok
cec2017,50,20,apgsk,per_function_runlevel,51,6.000000e+00,7.600557e-10,1.543652e-08,win,ok
cec2017,50,20,fdb-agsk,per_function_runlevel,51,5.100000e+01,9.961999e-09,9.961999e-08,win,ok
cec2017,50,20,atmals-gsk,per_function_runlevel,51,3.100000e+01,3.243223e-09,4.901601e-08,win,ok
cec2017,50,20,egsk,per_function_runlevel,51,1.060000e+02,1.828521e-07,4.022746e-06,win,ok
cec2017,50,21,gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.543652e-08,win,ok
cec2017,50,21,agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.543652e-08,win,ok
cec2017,50,21,apgsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.543652e-08,win,ok
cec2017,50,21,fdb-agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.543652e-08,win,ok
cec2017,50,21,atmals-gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.543652e-08,win,ok
cec2017,50,21,egsk,per_function_runlevel,51,4.530000e+02,4.955996e-02,3.175684e-01,tie,ok
cec2017,50,22,gsk,per_function_runlevel,51,8.000000e+00,2.796742e-09,3.915438e-08,win,ok
cec2017,50,22,agsk,per_function_runlevel,51,1.635000e+02,1.370045e-05,6.850224e-05,win,ok
cec2017,50,22,apgsk,per_function_runlevel,51,9.900000e+01,1.280794e-07,1.024635e-06,win,ok
cec2017,50,22,fdb-agsk,per_function_runlevel,51,2.800000e+01,2.732681e-09,3.279217e-08,win,ok
cec2017,50,22,atmals-gsk,per_function_runlevel,51,2.480000e+02,4.975945e-04,2.985567e-03,win,ok
cec2017,50,22,egsk,per_function_runlevel,51,6.700000e+01,2.385323e-08,5.486243e-07,win,ok
cec2017,50,23,gsk,per_function_runlevel,51,3.890000e+02,1.035805e-02,6.214831e-02,tie,ok
cec2017,50,23,agsk,per_function_runlevel,51,1.000000e+00,5.649717e-10,1.543652e-08,win,ok
cec2017,50,23,apgsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.543652e-08,win,ok
cec2017,50,23,fdb-agsk,per_function_runlevel,51,1.000000e+00,5.649717e-10,1.543652e-08,win,ok
cec2017,50,23,atmals-gsk,per_function_runlevel,51,9.000000e+00,9.071719e-10,1.849800e-08,win,ok
cec2017,50,23,egsk,per_function_runlevel,51,2.940000e+02,5.521818e-04,7.730545e-03,loss,ok
cec2017,50,24,gsk,per_function_runlevel,51,5.240000e+02,1.942101e-01,5.826303e-01,tie,ok
cec2017,50,24,agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.543652e-08,win,ok
cec2017,50,24,apgsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.543652e-08,win,ok
cec2017,50,24,fdb-agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.543652e-08,win,ok
cec2017,50,24,atmals-gsk,per_function_runlevel,51,1.000000e+00,5.649717e-10,1.543652e-08,win,ok
cec2017,50,24,egsk,per_function_runlevel,51,2.570000e+02,1.441964e-04,2.307143e-03,loss,ok
cec2017,50,25,gsk,per_function_runlevel,51,2.510000e+02,1.147446e-04,1.147446e-03,win,ok
cec2017,50,25,agsk,per_function_runlevel,51,5.660000e+02,3.657093e-01,7.314186e-01,tie,ok
cec2017,50,25,apgsk,per_function_runlevel,51,2.470000e+02,9.836915e-05,4.918458e-04,win,ok
cec2017,50,25,fdb-agsk,per_function_runlevel,51,6.300000e+02,7.606423e-01,1.000000e+00,tie,ok
cec2017,50,25,atmals-gsk,per_function_runlevel,51,2.250000e+02,4.117847e-05,4.117847e-04,win,ok
cec2017,50,25,egsk,per_function_runlevel,51,2.240000e+02,3.954226e-05,6.722184e-04,win,ok
cec2017,50,26,gsk,per_function_runlevel,51,2.330000e+02,5.678442e-05,6.246286e-04,loss,ok
cec2017,50,26,agsk,per_function_runlevel,51,3.800000e+01,4.822220e-09,5.786664e-08,win,ok
cec2017,50,26,apgsk,per_function_runlevel,51,2.600000e+02,1.614644e-04,6.458575e-04,win,ok
cec2017,50,26,fdb-agsk,per_function_runlevel,51,3.000000e+00,6.363059e-10,1.543652e-08,win,ok
cec2017,50,26,atmals-gsk,per_function_runlevel,51,6.700000e+01,2.385323e-08,3.339452e-07,win,ok
