suite,dimension,function,comparator,test_level,n_pairs,statistic,p_raw,p_holm,outcome,availability
cec2013,50,1,gsk,per_function_runlevel,51,0.000000e+00,1.000000e+00,1.000000e+00,tie,ok
cec2013,50,1,agsk,per_function_runlevel,51,0.000000e+00,1.000000e+00,1.000000e+00,tie,ok
cec2013,50,1,apgsk,per_function_runlevel,51,0.000000e+00,1.000000e+00,1.000000e+00,tie,ok
cec2013,50,1,fdb-agsk,per_function_runlevel,51,0.000000e+00,1.000000e+00,1.000000e+00,tie,ok
cec2013,50,1,atmals-gsk,per_function_runlevel,51,0.000000e+00,1.000000e+00,1.000000e+00,tie,ok
cec2013,50,1,egsk,per_function_runlevel,51,0.000000e+00,1.000000e+00,1.000000e+00,tie,ok
cec2013,50,2,gsk,per_function_runlevel,51,6.800000e+01,2.517282e-08,3.524195e-07,win,ok
cec2013,50,2,agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,win,ok
cec2013,50,2,apgsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,win,ok
cec2013,50,2,fdb-agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,win,ok
cec2013,50,2,atmals-gsk,per_function_runlevel,51,1.160000e+02,3.018874e-07,3.924537e-06,loss,ok
cec2013,50,2,egsk,per_function_runlevel,51,1.410000e+02,1.018736e-06,1.731850e-05,loss,ok
cec2013,50,3,gsk,per_function_runlevel,51,1.110000e+02,2.351983e-07,3.057578e-06,loss,ok
cec2013,50,3,agsk,per_function_runlevel,51,1.000000e+00,5.649717e-10,1.490422e-08,win,ok
cec2013,50,3,apgsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,win,ok
cec2013,50,3,fdb-agsk,per_function_runlevel,51,1.000000e+00,5.649717e-10,1.490422e-08,win,ok
cec2013,50,3,atmals-gsk,per_function_runlevel,51,3.630000e+02,4.995164e-03,3.996131e-02,win,ok
cec2013,50,3,egsk,per_function_runlevel,51,6.110000e+02,6.292850e-01,1.000000e+00,tie,ok
cec2013,50,4,gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,win,ok
cec2013,50,4,agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,win,ok
